Class Name	Parent (is_a)	Mixins	Direct Slots	Inherited Slots	Total Slots	Abstract	URI	Description
AddressingGap	DatasetProperty		5	0	5	No		Was there a specific gap that needed to be filled by creation of the dataset?
AnnotationAnalysis	DatasetProperty		9	0	9	No		Analysis of annotation quality, inter-annotator agreement metrics, and systematic patterns in annota...
CleaningStrategy	DatasetProperty		5	0	5	No		"Was any cleaning of the data done (e.g., removal of instances, processing of missing values)?
"
CollectionConsent	DatasetProperty		5	0	5	No		Did the individuals in question consent to the collection and use of their data? If so, how was cons...
CollectionMechanism	DatasetProperty		5	0	5	No		What mechanisms or procedures were used to collect the data (e.g., hardware, manual curation, softwa...
CollectionNotification	DatasetProperty		5	0	5	No		Were the individuals in question notified about the data collection? If so, please describe (or show...
CollectionTimeframe	DatasetProperty		7	0	7	No		Over what timeframe was the data collected, and does this timeframe match the creation timeframe of ...
Confidentiality	DatasetProperty		6	0	6	No		Does the dataset contain data that might be confidential (e.g., protected by legal privilege, patien...
ConsentRevocation	DatasetProperty		5	0	5	No		If consent was obtained, were the consenting individuals provided with a mechanism to revoke their c...
ContentWarning	DatasetProperty		6	0	6	No		Does the dataset contain any data that might be offensive, insulting, threatening, or otherwise anxi...
Creator	DatasetProperty		7	0	7	No		Who created the dataset (e.g., which team, research group) and on behalf of which entity (e.g., comp...
DataAnomaly	DatasetProperty		5	0	5	No		"Are there any errors, sources of noise, or redundancies in the dataset?
"
DataCollector	DatasetProperty		6	0	6	No		Who was involved in the data collection (e.g., students, crowdworkers, contractors), and how they we...
DataProtectionImpact	DatasetProperty		5	0	5	No		Has an analysis of the potential impact of the dataset and its use on data subjects (e.g., a data pr...
DataSubset	Dataset		95	0	95	No		A subset of a dataset, likely containing multiple files of multiple potential purposes and propertie...
Dataset	Information		93	0	93	No	dcat:Distribution	A single component of related observations and/or information that can be read, manipulated, transfo...
DatasetBias	DatasetProperty		8	0	8	No		Documents known biases present in the dataset. Biases are systematic errors or prejudices that may a...
DatasetCollection	Information		24	0	24	No		A collection of related datasets, likely containing multiple files of multiple potential purposes an...
DatasetLimitation	DatasetProperty		8	0	8	No		Documents known limitations of the dataset that may affect its use or interpretation. Distinct from ...
DatasetProperty			4	0	4	No		Represents a single property of a dataset, or a set of related properties.
DatasetRelationship	DatasetProperty		6	0	6	No		Typed relationship to another dataset, enabling precise specification of how datasets relate to each...
Deidentification	DatasetProperty		8	0	8	No		Is it possible to identify individuals in the dataset, either directly or indirectly (in combination...
DirectCollection	DatasetProperty		6	0	6	No		Indicates whether the data was collected directly from the individuals in question or obtained via t...
DiscouragedUse	DatasetProperty		5	0	5	No		"Are there tasks for which the dataset should not be used?
"
DistributionDate	DatasetProperty		5	0	5	No		"When will the dataset be distributed?
"
DistributionFormat	DatasetProperty		5	0	5	No		"How will the dataset be distributed (e.g., tarball on a website, API, GitHub)?
"
Erratum	DatasetProperty		6	0	6	No		"Is there an erratum? If so, please provide a link or other access point.
"
EthicalReview	DatasetProperty		7	0	7	No		Were any ethical or compliance review processes conducted (e.g., by an institutional review board)? ...
ExistingUse	DatasetProperty		5	0	5	No		"Has the dataset been used for any tasks already?
"
ExportControlRegulatoryRestrictions	DatasetProperty		9	0	9	No		Do any export controls or other regulatory restrictions apply to the dataset or to individual instan...
ExtensionMechanism	DatasetProperty		6	0	6	No		If others want to extend/augment/build on/contribute to the dataset, is there a mechanism for them t...
ExternalResource	DatasetProperty		8	0	8	No		Is the dataset self-contained or does it rely on external resources (e.g., websites, other datasets)...
FormatDialect			5	0	5	No		Additional format information for a file
FundingMechanism	DatasetProperty		6	0	6	No		Who funded the creation of the dataset? If there is an associated grant, please provide the name of ...
FutureUseImpact	DatasetProperty		5	0	5	No		Is there anything about the dataset's composition or collection that might impact future uses or cre...
Grant	NamedThing		4	0	4	No		The name and/or identifier of the specific mechanism providing monetary support or other resources s...
Grantor	Organization		3	0	3	No		The name and/or identifier of the organization providing monetary support  or other resources suppor...
HumanSubjectCompensation	DatasetProperty		8	0	8	No		"Information about compensation or incentives provided to human research participants.
"
HumanSubjectResearch	DatasetProperty		9	0	9	No		Information about whether the dataset involves human subjects research and what regulatory or ethica...
IPRestrictions	DatasetProperty		5	0	5	No		Have any third parties imposed IP-based or other restrictions on the data associated with the instan...
ImputationProtocol	DatasetProperty		8	0	8	No		Description of data imputation methodology, including techniques used to handle missing values and r...
Information	NamedThing		23	0	23	No		Grouping for datasets and data files
InformedConsent	DatasetProperty		9	0	9	No		"Details about informed consent procedures used in human subjects research.
"
Instance	DatasetProperty		12	0	12	No		What do the instances that comprise the dataset represent (e.g., documents, photos, people, countrie...
InstanceAcquisition	DatasetProperty		9	0	9	No		Describes how data associated with each instance was acquired (e.g., directly observed, reported by ...
IntendedUse	DatasetProperty		7	0	7	No		Explicit statement of intended uses for this dataset. Complements FutureUseImpact by focusing on pos...
LabelingStrategy	DatasetProperty		10	0	10	No		Was any labeling of the data done (e.g., part-of-speech tagging)? This class documents the annotatio...
LicenseAndUseTerms	DatasetProperty		7	0	7	No		Will the dataset be distributed under a copyright or other IP license, and/or under applicable terms...
MachineAnnotationTools	DatasetProperty		7	0	7	No		Automated or machine-learning-based annotation tools used in dataset creation, including NLP pipelin...
Maintainer	DatasetProperty		6	0	6	No		"Who will be supporting/hosting/maintaining the dataset?
"
MissingDataDocumentation	DatasetProperty		7	0	7	No		Documentation of missing data in the dataset, including patterns, causes, and strategies for handlin...
MissingInfo	DatasetProperty		6	0	6	No		"Is any information missing from individual instances? (e.g., unavailable data)
"
NamedThing			3	0	3	No	schema:Thing	A generic grouping for any identifiable entity.
Organization	NamedThing		3	0	3	No	schema:Organization	Represents a group or organization.
OtherTask	DatasetProperty		5	0	5	No		"What other tasks could the dataset be used for?
"
ParticipantPrivacy	DatasetProperty		8	0	8	No		"Information about privacy protections and anonymization procedures for human research participants.
"
Person	NamedThing		6	0	6	No	schema:Person	An individual human being. This class represents a person in the context of a specific dataset. Attr...
PreprocessingStrategy	DatasetProperty		5	0	5	No		Was any preprocessing of the data done (e.g., discretization or bucketing, tokenization, SIFT featur...
ProhibitedUse	DatasetProperty		5	0	5	No		Explicit statement of prohibited or forbidden uses for this dataset. Stronger than DiscouragedUse - ...
Purpose	DatasetProperty		5	0	5	No		For what purpose was the dataset created?
RawData	DatasetProperty		6	0	6	No		"Was the ""raw"" data saved in addition to the preprocessed/cleaned/labeled data? If so, please provide..."
RawDataSource	DatasetProperty		8	0	8	No		Description of raw data sources before preprocessing, cleaning, or labeling. Documents where the ori...
Relationships	DatasetProperty		5	0	5	No		Are relationships between individual instances made explicit (e.g., users' movie ratings, social net...
RetentionLimits	DatasetProperty		6	0	6	No		If the dataset relates to people, are there applicable limits on the retention of their data (e.g., ...
SamplingStrategy	DatasetProperty		11	0	11	No		Does the dataset contain all possible instances, or is it a sample (not necessarily random) of insta...
SensitiveElement	DatasetProperty		6	0	6	No		Does the dataset contain data that might be considered sensitive (e.g., race, sexual orientation, re...
Software	NamedThing		6	0	6	No	schema:SoftwareApplication	A software program or library.
Splits	DatasetProperty		5	0	5	No		Are there recommended data splits (e.g., training, validation, testing)? If so, how are they defined...
Subpopulation	DatasetProperty		7	0	7	No		Does the dataset identify any subpopulations (e.g., by age, gender)? If so, how are they identified ...
Task	DatasetProperty		5	0	5	No		Was there a specific task in mind for the dataset's application?
ThirdPartySharing	DatasetProperty		5	0	5	No		Will the dataset be distributed to third parties outside of the entity (e.g., company, institution, ...
UpdatePlan	DatasetProperty		6	0	6	No		Will the dataset be updated (e.g., to correct labeling errors, add new instances, delete instances)?...
UseRepository	DatasetProperty		6	0	6	No		Is there a repository that links to any or all papers or systems that use the dataset? If so, provid...
VariableMetadata	DatasetProperty		18	0	18	No	schema:PropertyValue	Metadata describing an individual variable, field, or column in a dataset. Variables may represent m...
VersionAccess	DatasetProperty		7	0	7	No		Will older versions of the dataset continue to be supported/hosted/maintained? If so, how? If not, h...
VulnerablePopulations	DatasetProperty		8	0	8	No		"Information about protections for vulnerable populations in human subjects research.
"
